" RANKING OF TOP 1,000 GLOBAL COMPANIES BY R&D INVESTMENT WITHIN INDUSTRY"
,,,,,,,,,"2009 R&D investment",,,,,,"Operating profit",,,,"Sales and employees",,,,,,"R&D and employees",,,,,,Sales,,
,,,,,,,,,,Growth,,÷ operating,,R&D + capex,,Growth,,,Sales,,,Sales ÷ employees,,,Employees,,,R&D ÷ employees ,,,outside,Market cap,,R&D spend,,
"Shanghai Electric, Hong Kong",Hong Kong,,,*,21,2757,Industrial machinery,Listed,98.36,12,122,42.4,1.9,5.4,232,-21,-26,4.4,5227,-2,20,179.2,5,31,29168,-7,-8,3.4,20,143,,7834,-18,87.94,51.14,23.50,14.78
"Metso, Finland",Finland,,,,21,2757,Industrial machinery,Listed,97.73,-15,2,38.5,2.2,3.9,254,-54,-41,5.7,4457,-22,-8,160.2,-21,-17,27813,-1,11,3.5,-14,-8,57,3547,72,114.62,98.62,90.63,78.19
"Hyundai Heavy Industries, South Korea",South Korea,,,*,21,2753,Commercial vehicles & trucks,Listed,92.66,-1,18,6.8,0.6,6.1,1373,-15,42,8.8,15557,6,49,,,,,,,,,,,11056,39,93.72,81.19,68.51,70.17
"Grundfos, Denmark",Denmark,,,*,21,2757,Industrial machinery,Unlisted,92.47,-16,11,78.6,4.5,12.4,118,-22,-29,5.8,2037,-10,6,121.5,-6,-4,16767,-4,11,5.5,-12,1,35,,,109.60,78.65,73.75,70.41
"Bharat Heavy Electricals, India",India,,,*,21,2757,Industrial machinery,FT Global 500,91.82,49,178,17.0,2.6,4.9,539,14,44,15.3,3525,37,78,77.2,31,49,45666,5,7,2.0,42,125,,16171,16,61.71,33.49,20.19,16.66
"Krones, Germany",Germany,,,,21,2757,Industrial machinery,Listed,86.60,-16,-4,,5.2,8.4,-37,-127,-133,-2.3,1657,-22,-8,165.7,-23,-16,10001,2,9,8.7,-18,-11,,1058,16,103.40,94.61,87.93,73.38
"DEUTZ, Germany",Germany,,,,21,2757,Industrial machinery,Listed,76.23,17,28,,9.9,15.0,-83,-726,-252,-10.9,767,-42,-43,178.9,-35,-31,4287,-12,-18,17.8,33,55,24,446,29,65.22,57.66,59.09,55.98
"Sumitomo Heavy Industries, Japan",Japan,,,*,21,2757,Industrial machinery,Listed,71.10,8,33,29.6,1.7,6.0,240,-50,-36,5.6,4277,-3,10,285.4,-6,-9,14984,4,21,4.7,4,10,,1907,-1,65.57,57.20,49.50,42.02
"NHK Spring, Japan",Japan,,,*,21,2757,Industrial machinery,Listed,70.12,19,85,101.4,2.4,8.9,69,-69,-59,2.4,2933,-9,8,184.8,-1,-21,15869,-8,33,4.4,30,46,11,1273,12,59.00,57.41,17.07,18.17
"Georg Fischer, Switzerland",Switzerland,,,,21,2757,Industrial machinery,Listed,69.49,-19,-14,,4.0,9.1,-122,-311,-181,-7.0,1741,-35,-30,139.5,-25,-27,12481,-13,-4,5.6,-7,-11,,951,75,85.67,86.26,78.48,74.28
"Schindler, Switzerland",Switzerland,,,,21,2757,Industrial machinery,Listed,65.30,9,1,11.3,0.9,1.7,580,9,43,7.6,7603,-10,6,172.4,-7,4,44086,-2,2,1.5,12,-1,,6805,39,59.91,65.30,66.50,65.90
"Minebea, Japan",Japan,,,*,21,2757,Industrial machinery,Listed,62.91,-5,0,99.8,3.7,10.9,63,-70,-56,3.7,1704,-23,-20,35.2,-20,-19,48443,-4,-1,1.3,-1,1,25,1225,1,66.19,59.87,60.19,66.60
"Glory, Japan",Japan,,,*,21,2757,Industrial machinery,Listed,61.22,-4,-11,98.6,6.3,10.7,62,-55,-42,6.4,971,-21,-14,176.2,-24,-19,5510,3,6,11.1,-7,-17,20,905,0,63.96,62.06,63.02,86.79
"Crane, USA",USA,,,*,21,2757,Industrial machinery,Listed,61.12,-28,15,47.2,4.5,5.8,129,5,48,9.5,1360,-16,-8,136.0,1,7,10000,-17,-14,6.1,-14,35,,1276,54,85.39,60.93,37.71,28.55
"Husqvarna, Sweden",Sweden,,,,21,2757,Industrial machinery,Listed,60.28,21,44,44.5,2.0,4.0,136,-35,-48,4.6,2955,5,8,196.6,10,1,15030,-4,4,4.0,26,38,55,4115,15,49.96,41.72,33.48,
"Rieter, Switzerland",Switzerland,,,,21,2757,Industrial machinery,Listed,59.13,-19,-29,,5.0,8.2,-112,,-297,-9.5,1172,-38,-43,91.8,-31,-34,12761,-10,-14,4.6,-10,-17,,824,72,73.26,84.53,86.74,86.68
"Ebara, Japan",Japan,,,*,21,2757,Industrial machinery,Listed,58.73,-18,-18,,1.8,6.5,-36,,,-1.1,3334,-12,-4,207.0,-12,-8,16102,0,3,3.6,-18,-21,,1103,5,71.92,75.55,72.39,66.48
"GEA, Germany",Germany,,,,21,2757,Industrial machinery,Listed,58.28,11,21,25.4,1.5,4.2,229,-38,13,5.8,3919,-18,-21,187.0,-19,-24,20963,1,4,2.8,10,17,46,2388,24,52.51,44.61,42.44,52.39
"Dongfang Electric, China",China,,,*,21,2757,Industrial machinery,Listed,57.78,29,90,39.7,1.9,3.3,146,534,7,4.9,2971,21,71,152.7,14,,19461,5,,3.0,23,,,4645,47,44.69,42.52,28.03,6.37
"Alfa Laval, Sweden",Sweden,,,,21,2757,Industrial machinery,Listed,56.20,-1,17,16.1,2.5,4.6,350,-28,13,15.5,2258,-7,17,191.8,-6,6,11773,0,12,4.8,-1,5,59,3893,38,56.72,51.17,45.63,38.84
"Mettler-Toledo International, USA",USA,,,*,21,2757,Industrial machinery,Listed,55.54,-12,0,35.9,5.2,8.7,155,-14,5,14.5,1071,-12,1,102.9,-16,-9,10400,4,11,5.3,-16,-10,54,2349,30,63.34,57.20,51.27,50.71
"Kone, Finland",Finland,,,,21,2757,Industrial machinery,Listed,55.09,6,23,10.8,1.3,2.0,511,2,47,12.1,4215,3,19,123.0,2,6,34276,1,13,1.6,5,9,,6099,26,51.80,45.05,44.69,37.62
"Daifuku, Japan",Japan,,,*,21,2757,Industrial machinery,Listed,53.33,15,18,53.8,3.3,5.4,99,-28,-11,6.2,1611,5,17,284.6,5,-7,5660,0,24,9.4,15,-6,14,357,-27,46.32,50.31,50.75,33.06
"Juki, Japan",Japan,,,*,21,2757,Industrial machinery,Listed,49.30,-6,19,,9.5,15.2,-58,-195,-186,-11.2,518,-40,-41,89.8,-25,-26,5764,-21,-20,8.6,19,48,,135,30,52.33,45.17,36.55,32.26
"Woodward Governor, USA",USA,,,*,21,2757,Industrial machinery,Listed,48.63,7,26,50.7,5.5,7.5,96,-16,27,10.8,886,14,44,156.5,17,9,5660,-3,31,8.6,10,-5,,1182,39,45.46,40.43,37.07,30.96
"Fincantieri, Italy",Italy,,,,21,2753,Commercial vehicles & trucks,Unlisted,47.50,13,17,143.0,1.9,5.6,33,-25,-63,1.3,2493,9,28,272.6,9,,9146,0,,5.2,12,,,,,42.22,37.94,41.94,
"Buhler, Switzerland",Switzerland,,,,21,2757,Industrial machinery,Unlisted,47.15,-4,11,64.7,4.6,7.8,73,-16,13,7.1,1031,-9,2,136.4,-8,-8,7562,-1,10,6.2,-3,1,,,,49.30,44.57,39.00,37.68
"Bucher Industries, Switzerland",Switzerland,,,,21,2753,Commercial vehicles & trucks,Listed,45.47,-3,9,317.6,3.5,6.2,14,-90,-86,1.1,1283,-23,-8,168.4,-18,-11,7618,-7,4,6.0,4,5,29,820,7,46.79,42.59,39.12,37.98
"Oshkosh, USA",USA,,,*,21,2753,Commercial vehicles & trucks,Listed,45.39,-20,21,,1.3,2.2,-618,-352,-352,-18.4,3364,-24,10,273.5,-13,4,12300,-12,8,3.7,-9,16,16,1512,1,56.97,46.94,26.05,20.68
"Pall, USA",USA,,,*,21,2757,Industrial machinery,Listed,44.10,-1,15,23.8,3.1,8.8,185,-17,9,12.8,1442,-9,7,141.4,-6,11,10200,-4,-4,4.3,3,20,,2562,15,44.37,38.65,35.53,34.79
"Andritz, Austria",Austria,,,,21,2757,Industrial machinery,Listed,43.76,-4,24,33.7,1.5,3.7,130,-33,-13,4.6,2841,-11,13,217.7,-7,-11,13049,-5,25,3.4,1,-3,51,1977,27,45.52,40.34,31.47,24.12
"Bobst, Switzerland",Switzerland,,,,21,2757,Industrial machinery,Listed,43.73,-24,-21,,6.9,8.1,-106,-305,-247,-16.7,632,-35,-36,115.2,-30,-35,5488,-8,-1,8.0,-18,-20,,420,2,57.87,54.45,54.81,54.57
22 Industrial metals & mining (17),,,,,,,,,2351.05,-2.9,19.1,48.3,0.9,7.3,4867,-84.9,-84.7,1.9,256163,-21.8,-4.6,276.7,-10.8,5.5,925822,-8.1,-4.2,2.5,14.1,37.8,,134751,-8.7,2420.24,2008.84,1767.04,1548.15
"Nippon Steel, Japan",Japan,,,*,22,1757,Iron & steel,FT Global 500,304.63,1,14,15.3,1.0,1.0,1998,-49,-44,6.3,31728,-1,16,633.6,,,50077,,,6.1,,,,13931,-19,301.52,274.25,251.98,241.81
"JFE, Japan",Japan,,,*,22,1757,Iron & steel,FT Global 500,278.96,6,10,12.2,1.1,8.5,2284,-24,-24,8.8,25997,10,23,459.7,11,18,56547,0,5,4.9,6,5,,11667,-20,262.63,253.76,254.05,247.39
"POSCO, South Korea",South Korea,,,*,22,1757,Iron & steel,FT Global 500,260.36,-1,36,14.0,1.3,18.7,1865,-50,-35,9.5,19599,-12,17,657.4,-12,15,29811,0,3,8.7,-2,33,,22520,7,263.76,205.18,174.73,119.98
"ThyssenKrupp, Germany",Germany,,,,22,1757,Iron & steel,Listed,257.66,-11,12,,0.7,10.7,-1683,-157,-165,-4.7,36040,-24,-17,187.1,-23,-18,192619,-2,2,1.3,-9,11,,9402,-10,288.76,234.56,215.02,179.48
"Kobe Steel, Japan",Japan,,,*,22,1757,Iron & steel,Listed,206.40,3,26,60.5,1.4,7.1,341,-71,-68,2.4,14483,2,22,432.0,3,11,33526,0,10,6.2,3,14,,4018,7,200.48,165.58,160.45,131.04
"ArcelorMittal, Luxembourg",Luxembourg,,,,22,1757,Iron & steel,FT Global 500,156.67,-14,57,,0.4,4.3,-1005,-112,-115,-2.5,40318,-48,-18,143.1,-42,-11,281703,-11,-4,0.6,-4,72,48,29238,-14,182.67,132.52,59.45,24.15
"Sumitomo Metal Industries, Japan",Japan,,,*,22,1757,Iron & steel,Listed,147.15,10,26,10.3,1.2,10.8,1424,-27,-21,11.6,12269,6,20,506.0,9,25,24245,-3,-4,6.1,13,31,,7204,-9,133.72,124.85,109.27,97.99
"Alcoa, USA",USA,,,*,22,1753,Aluminium,Listed,104.65,-31,-25,,0.9,9.5,-902,-295,-160,-7.8,11608,-33,-35,196.7,-2,19,59000,-32,-47,1.8,1,37,,6729,-16,152.33,154.19,131.90,120.13
"OneSteel, Australia",Australia,,,,22,1757,Iron & steel,Listed,102.70,23,136,43.2,2.5,5.1,237,-17,22,5.9,4033,-3,47,363.2,2,15,11104,-5,30,9.2,29,92,,2297,6,83.71,36.59,30.52,23.39
"voestalpine, Austria",Austria,,,,22,1757,Iron & steel,Listed,96.67,-3,31,31.4,1.3,7.4,308,-66,-65,4.1,7597,-27,-5,182.4,-24,-24,41646,-4,24,2.3,2,5,,3196,5,99.51,82.54,58.64,54.64
"Mitsubishi Materials, Japan",Japan,,,*,22,1755,Nonferrous metals,Listed,78.84,2,8,64.9,0.8,5.4,121,-86,-78,1.3,9473,-14,9,446.3,-21,0,21224,9,9,3.7,-7,-2,10,2350,2,77.67,73.92,72.23,69.51
"Norsk Hydro, Norway",Norway,,,,22,1753,Aluminium,Listed,73.97,14,8,,1.0,5.2,-80,-194,-102,-1.1,7226,-24,-57,348.1,-16,-37,20757,-10,-30,3.6,27,53,24,4987,10,64.96,54.35,77.93,76.75
"Salzgitter, Germany",Germany,,,,22,1757,Iron & steel,Listed,71.67,-16,20,,1.0,9.5,-372,-141,-143,-5.4,6946,-37,-18,292.2,-37,-32,23770,0,21,3.0,-15,0,,2409,-30,84.94,51.36,51.80,51.09
"Bekaert, Belgium",Belgium,,,,22,1757,Iron & steel,Listed,56.36,-7,15,23.9,2.6,9.4,236,-1,31,10.9,2166,-8,11,119.6,-14,-15,18103,7,29,3.1,-13,-11,,2538,59,60.89,50.38,44.04,39.96
"Heraeus, Germany",Germany,,,,22,1755,Nonferrous metals,Unlisted,55.80,36,54,36.7,0.4,0.4,152,-38,-36,1.1,14411,2,31,1167.9,4,22,12340,-2,8,4.5,38,43,,,,41.14,37.32,35.01,31.72
"Mitsui Mining & Smelting, Japan",Japan,,,*,22,1755,Nonferrous metals,Listed,53.29,-4,16,,1.9,10.0,-350,-344,-237,-12.3,2842,-28,-20,254.0,-27,-25,11189,-2,8,4.8,-2,8,8,995,-11,55.30,48.95,40.04,39.12
"Gerdau, Brazil",Brazil,,,*,22,1757,Iron & steel,FT Global 500,45.29,-32,,15.5,0.5,5.7,292,-90,-83,3.1,9428,-37,1,247.1,-23,-5,38161,-17,9,1.2,-17,,41,11269,,66.25,28.56,,
23 Industrial transportation (2),,,,,,,,,153.71,-23.1,-20.6,,0.2,5.8,-434,,-116.9,-0.7,64609,-20.0,-6.2,93.8,-17.2,-6.3,688615,-3.4,0.4,0.2,-20.6,-21.8,,12782,7.2,199.91,189.25,180.37,204.35
"Deutsche Post, Germany",Germany,,,,23,2771,Delivery services,FT Global 500,78.19,-32,-39,22.5,0.2,2.1,347,,-81,0.8,42501,-27,-12,87.0,-24,-13,488518,-4,1,0.2,-29,-42,,12782,7,114.62,120.84,121.72,155.49
"SNCF, France",France,,,,23,2775,Railroads,Unlisted,75.52,-11,16,,0.3,12.9,-781,-180,-207,-3.5,22108,-1,8,110.5,-1,10,200097,-1,-1,0.4,-11,17,,,,85.30,68.41,58.64,48.87
24 Leisure goods (25),,,,,,,,,11817.45,-4.9,-4.9,2399.3,6.6,11.3,493,-95.2,-96.3,0.3,180326,-12.1,-7.4,224.7,-5.0,3.1,762999,-9.2,-9.4,15.0,3.4,5.3,,121439,1.1,12429.61,12163.84,11810.21,12257.25
"Panasonic, Japan",Japan,,,*,24,3743,Consumer electronics,FT Global 500,3445.06,-7,-10,,6.7,13.4,-2599,-192,-223,-5.0,51655,-14,-13,176.7,-10,-3,292250,-4,-10,11.8,-2,0,25,19197,-18,3688.68,3845.33,3756.82,4094.35
"Sony, Japan",Japan,,,*,24,3743,Consumer electronics,FT Global 500,3307.93,-4,-5,,6.5,13.0,-1520,-154,-187,-3.0,50776,-13,1,296.4,-8,-3,171300,-5,5,19.3,1,-10,50,18916,7,3462.72,3618.17,3537.40,3339.26
"Philips Electronics, The Netherlands",The Netherlands,,,,24,3743,Consumer electronics,FT Global 500,1522.88,6,-10,255.8,7.4,9.7,595,,-44,2.9,20603,-13,-19,175.2,-6,-6,117587,-7,-15,13.0,14,5,,17607,28,1433.14,1425.15,1541.54,2333.19
"Electronic Arts, USA",USA,,,*,24,3747,Toys,Listed,761.04,-10,14,,33.6,35.6,-438,,,-19.3,2263,-13,5,290.1,1,12,7800,-14,-6,97.6,6,23,,3205,-25,841.54,709.02,644.62,469.38
"Nikon, Japan",Japan,,,*,24,3743,Consumer electronics,Listed,409.01,5,40,154.2,7.0,10.5,265,-65,-42,4.5,5852,-8,12,246.3,-2,-2,23759,-6,14,17.2,12,24,53,4339,-1,388.29,314.09,247.04,223.24
"Activision Blizzard, USA",USA,,,*,24,3747,Toys,Listed,388.26,-21,89,,14.7,16.3,-13,-110,-111,-0.5,2650,6,73,378.5,6,-20,7000,0,101,55.5,-21,6,,8241,-18,488.78,166.91,82.40,81.60
"Nintendo, Japan",Japan,,,*,24,3747,Toys,FT Global 500,281.07,14,34,7.6,2.3,3.5,3676,16,142,30.1,12230,10,101,2961.3,0,68,4130,10,24,68.1,4,9,83,23073,-1,246.12,250.94,203.53,136.45
"Eastman Kodak, USA",USA,,,*,24,3745,Recreational products,Listed,220.45,-29,-46,,4.7,6.7,-67,,,-1.4,4710,-19,-37,232.6,-3,7,20250,-17,-43,10.9,-14,-7,,616,-15,310.24,331.29,439.66,552.36
"Harman International Industries, USA",USA,,,*,24,3743,Consumer electronics,Listed,205.40,-16,4,,11.5,14.2,-318,-485,-264,-17.7,1790,-30,-17,188.8,-13,0,9482,-19,-17,21.7,3,25,80,1275,12,245.15,220.88,187.01,137.84
"Yamaha, Japan",Japan,,,*,24,3745,Recreational products,Listed,154.44,-7,-3,,5.1,9.5,-67,-130,-130,-2.2,3055,-16,-15,114.0,-17,-34,26803,1,27,5.8,-8,-25,33,1357,-15,165.40,161.11,160.01,152.68
"Garmin, Cayman Islands",Cayman Islands,,,*,24,3743,Consumer electronics,Listed,147.61,16,72,30.2,8.1,9.8,488,-9,18,26.8,1825,-16,24,216.3,-11,-6,8437,-5,34,17.5,22,25,,3260,-9,127.63,98.71,70.17,46.37
"Namco Bandai, Japan",Japan,,,*,24,3747,Toys,Listed,116.49,0,-6,97.6,4.1,6.0,119,-34,-44,4.2,2836,-7,-7,,,,,,,,,,23,1456,-8,116.96,119.76,134.63,
"Hasbro, USA",USA,,,*,24,3747,Toys,Listed,112.20,-5,6,30.8,4.5,7.0,364,19,43,14.5,2519,1,15,434.3,3,17,5800,-2,-1,19.3,-4,8,42,3704,61,118.54,103.53,106.11,93.25
"Mattel, USA",USA,,,*,24,3747,Toys,Listed,106.08,-10,-7,23.7,3.2,5.4,448,33,7,13.3,3363,-8,-4,124.6,-1,4,27000,-7,-8,3.9,-3,1,51,4842,21,117.78,117.28,107.44,112.70
"Samsung Techwin, South Korea",South Korea,,,*,24,3745,Recreational products,Listed,87.14,41,,3756.0,4.5,7.8,2,-98,,0.1,1925,5,,,,,,,,,,,,3136,55,61.68,52.53,,
"Casio Computer, Japan",Japan,,,*,24,3743,Consumer electronics,Listed,84.02,-14,-25,,2.4,4.8,-181,-182,-171,-5.3,3446,-17,-13,278.8,-11,-10,12358,-6,-3,6.8,-9,-23,30,1251,-9,98.11,119.86,121.10,110.53
"Bang & Olufsen, Denmark",Denmark,,,,24,3743,Consumer electronics,Listed,62.04,-2,2,,18.6,22.6,-59,-369,-229,-17.7,333,-32,-32,144.6,-25,-28,2303,-9,-5,26.9,8,8,20,213,-11,63.27,58.93,61.15,59.92
"Eidos, UK (now part of Square Enix of Europe)",UK,*,,,24,3747,Toys,Unlisted,62.00,-14,13,,58.6,60.2,-117,,,-110.2,106,-21,-12,107.3,-13,-27,987,-9,28,62.8,-6,-16,26,,,72.20,68.50,57.40,21.07
"Shimano, Japan",Japan,,,*,24,3745,Recreational products,Listed,55.68,-11,2,53.4,4.5,8.9,104,-58,-42,8.4,1242,-21,-5,,,,,,,,,,53,2920,14,62.22,53.47,46.80,56.19
"Brunswick, USA",USA,,,*,24,3745,Recreational products,Listed,54.80,-28,-34,,3.2,4.4,-365,,-1016,-21.2,1719,-41,-50,114.6,-22,-16,15003,-24,-41,3.7,-5,12,,811,67,75.67,83.29,81.86,89.60
"THQ, USA",USA,,,*,24,3747,Toys,Listed,54.02,-20,-17,,9.7,10.4,-6,,,-1.1,557,8,-3,331.4,29,15,1680,-16,-16,32.2,-5,-1,,140,-46,67.62,79.80,60.13,52.17
"Inventec Appliances, Taiwan",Taiwan,,,*,24,3743,Consumer electronics,Listed,45.26,-2,16,107.4,3.4,3.4,42,-39,-30,3.1,1344,-25,-30,,,,,,,,,,,268,-16,46.22,35.63,40.34,33.29
"Roland, Japan",Japan,,,*,24,3745,Recreational products,Listed,45.05,0,2,110.7,6.7,9.8,41,-55,-43,6.1,669,-7,3,246.9,-14,,2708,7,,16.6,-6,,68,165,-12,44.84,45.47,41.79,
"Amer Sports, Finland",Finland,,,,24,3745,Recreational products,Listed,44.78,-7,-3,116.1,3.3,5.1,39,-31,-43,2.8,1362,-3,-4,214.1,-4,-7,6362,1,3,7.0,-8,-6,52,788,82,47.98,49.93,51.98,35.01
"Coretronic, Taiwan",Taiwan,,,*,24,3743,Consumer electronics,Listed,44.76,15,39,79.5,3.0,3.0,56,7,-20,3.8,1499,-3,5,,,,,,,,,,,659,21,38.84,34.29,29.30,26.82
25 Life insurance (1),,,,,,,,,117.28,-68.6,,,0.3,3.7,-1355,,-121.6,-3.2,42849,-27.7,-33.0,399.8,-15.9,-24.4,107173,-14.0,-11.5,1.1,-63.4,,,22087,,373.17,110.17,,
"ING, The Netherlands",The Netherlands,,,,25,8575,Life insurance,FT Global 500,117.28,-69,,,0.3,3.7,-1355,,-122,-3.2,42849,-28,-33,399.8,-16,-24,107173,-14,-12,1.1,-63,,,22087,,373.17,110.17,,
26 Media (8),,,,,,,,,1920.53,13.1,40.3,38.2,2.8,7.9,5031,-10.0,-27.1,7.2,69767,4.4,16.9,263.9,-14.1,-3.5,264348,8.1,24.4,7.3,1.8,31.4,,69028,1.3,1698.52,1002.35,932.39,818.79
"Vivendi, France",France,,,,26,5553,Broadcasting & entertainment,FT Global 500,776.54,21,89,25.9,3.2,9.8,3000,12,-17,12.4,24107,7,25,499.3,-2,3,48284,9,22,16.1,11,57,26,17665,-11,640.60,375.83,327.85,302.09
"Thomson Reuters, Canada",Canada,,,,26,5557,Publishing,FT Global 500,358.54,14,,48.7,4.5,8.2,737,-35,-19,9.2,8048,11,40,146.3,,,55000,,,6.5,,,,18287,,315.81,,,
"Dai Nippon Printing, Japan",Japan,,,*,26,5557,Publishing,Listed,226.91,-4,13,,2.2,8.2,-146,-127,-122,-1.4,10542,-2,4,261.5,-6,-5,40317,4,10,5.6,-8,3,0,5159,-17,236.51,200.31,190.85,175.52
"Toppan Printing, Japan",Japan,,,*,26,5557,Publishing,Listed,191.52,-3,6,162.2,1.8,7.7,118,-76,-75,1.1,10758,-3,5,226.4,-21,-21,47522,23,32,4.0,-21,-20,0,3367,-20,197.78,193.79,183.54,148.04
"Reed Elsevier, UK",UK,,,,26,5557,Publishing,FT Global 500,179.00,56,77,22.5,2.9,4.2,795,-11,-12,13.1,6071,14,14,182.3,12,21,33300,1,-6,5.4,54,87,69,11849,15,115.00,80.00,108.00,102.00
"Avid Technology, USA",USA,,,*,26,5553,Broadcasting & entertainment,Listed,74.92,-19,-12,,19.2,22.2,-43,,,-11.1,389,-26,-27,181.8,-18,-11,2142,-9,-18,35.0,-11,7,58,274,-5,92.02,93.32,87.54,68.94
"British Sky Broadcasting, UK",UK,,,,26,5553,Broadcasting & entertainment,FT Global 500,63.00,19,107,9.8,1.2,5.9,641,421,-4,12.0,5359,8,23,359.1,3,-1,14922,5,23,4.2,13,79,,12428,34,53.00,43.00,20.00,6.00
"BBC, UK",UK,,,,26,5553,Broadcasting & entertainment,Unlisted,50.10,5,112,,1.1,3.9,-71,,,-1.6,4492,4,11,196.5,4,15,22861,0,-3,2.2,5,116,,,,47.80,16.10,14.60,16.20
27 Mining (4),,,,,,,,,938.78,-15.6,42.1,5.8,1.2,21.1,16311,-46.3,-28.3,21.4,76251,-22.4,21.0,302.3,-21.9,-5.7,252248,-0.6,32.1,3.7,-15.1,15.6,,286961,21.6,1112.84,647.63,354.20,204.35
"Vale, Brazil",Brazil,,,*,27,1775,General mining,FT Global 500,607.47,-10,52,16.2,4.2,38.9,3751,-60,-41,26.0,14435,-38,-9,240.4,-35,-17,60036,-4,14,10.1,-6,40,,87152,32,671.87,453.90,297.85,171.53
"Rio Tinto, UK",UK,,,,27,1775,General mining,FT Global 500,119.51,-37,88,2.9,0.5,12.4,4153,-21,-26,16.0,25899,-23,33,270.9,-20,-33,95608,-3,87,1.3,-35,40,87,72341,26,190.11,42.73,9.29,12.39
"China Coal Energy, China",China,,,,27,1775,General mining,FT Global 500,115.20,15,,12.8,2.4,19.4,901,1,44,18.7,4824,4,44,86.7,-5,33,55614,9,8,2.1,5,,0,11456,,99.78,46.35,,
"BHP Billiton, UK",UK,,,,27,1775,General mining,FT Global 500,96.60,-36,20,1.3,0.3,20.3,7506,-49,-26,24.1,31092,-16,27,758.5,-14,13,40990,-2,15,2.4,-35,8,78,116013,12,151.09,104.65,47.06,20.44
28 Mobile telecommunications (4),,,,,,,,,695.58,7.5,24.1,4.6,0.8,13.2,15026,34.6,280.9,17.5,85987,3.8,17.5,567.4,-2.3,-2.6,151555,6.2,20.2,4.6,1.3,3.3,,116703,18.2,647.04,554.60,549.90,489.74
"Vodafone, UK",UK,,,,28,6575,Mobile telecommunications,FT Global 500,303.00,8,29,3.2,0.7,11.9,9571,64,97,21.5,44472,8,23,523.3,1,1,84990,7,22,3.6,1,6,,80835,22,280.00,234.00,222.00,206.00
"KDDI, Japan",Japan,,,*,28,6575,Mobile telecommunications,FT Global 500,179.35,38,76,6.6,0.8,14.1,2706,5,36,11.6,23265,-3,8,1371.2,-9,-10,16967,7,20,10.6,29,48,,13557,-12,130.16,102.35,102.02,72.92
"SK Telecom, South Korea",South Korea,,,*,28,6575,Mobile telecommunications,Listed,134.98,4,9,15.3,1.7,16.6,884,59,-14,11.4,7752,3,22,833.7,-1,-5,9298,4,27,14.5,1,-16,,6959,-1,129.26,118.03,113.75,134.82
"Telenor, Norway",Norway,,,,28,6575,Mobile telecommunications,FT Global 500,78.25,-27,-21,4.2,0.7,14.2,1865,-16,-2,17.8,10498,1,14,260.5,-3,-2,40300,4,16,1.9,-30,-32,32,15352,56,107.63,100.23,112.13,76.00
29 Nonequity investment instruments (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No companies with sufficient R&D for inclusion,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Nonlife insurance (1),,,,,,,,,96.00,37.1,13.9,17.1,1.3,1.8,561,-24.3,-2.8,7.5,7458,4.4,14.6,328.7,3.4,18.3,22686,1.0,-3.5,4.2,35.8,19.5,,4394,8.3,70.00,51.00,94.00,122.00
"RSA Insurance, UK",UK,,,,30,8532,Full line insurance,Listed,96.00,37,14,17.1,1.3,1.8,561,-24,-3,7.5,7458,4,15,328.7,3,18,22686,1,-3,4.2,36,20,,4394,8,70.00,51.00,94.00,122.00
31 Oil & gas producers (22),,,,,,,,,6184.73,2.5,28.9,3.7,0.4,12.6,168952,-37.5,-33.7,11.2,1513679,-26.2,-7.5,664.1,-25.8,-5.7,2244070,-0.7,-8.0,2.7,3.2,32.0,,1240936,-7.0,6033.38,5214.67,4265.53,3520.49
"PetroChina, China",China,,,,31,0533,Exploration & production,FT Global 500,896.81,27,93,6.8,1.0,29.0,13168,0,-21,14.2,92455,-5,30,171.5,-16,11,539168,13,18,1.7,13,65,,167001,-24,703.88,482.10,386.41,289.81
"Royal Dutch Shell, UK",UK,,,,31,0537,Integrated oil & gas,FT Global 500,696.64,-11,14,5.7,0.4,10.2,12135,-62,-59,7.0,172263,-39,-23,1705.6,-39,-19,101000,-1,-4,6.9,-10,19,,109257,11,783.95,743.70,548.02,364.11
"Exxon Mobil, USA",USA,,,*,31,0537,Integrated oil & gas,FT Global 500,650.20,24,35,3.0,0.3,7.8,21874,-57,-49,11.7,186699,-29,-17,1817.9,-28,-14,102700,-2,-3,6.3,26,40,,188897,-7,524.49,504.06,453.90,440.89
"Gazprom, Russia",Russia,,,,31,0537,Integrated oil & gas,FT Global 500,582.70,43,107,3.1,1.0,26.6,18783,-26,12,30.7,61100,-15,27,158.3,0,44,386000,-15,-11,1.5,69,136,,77394,4,407.59,316.35,268.08,133.68
"TOTAL, France",France,,,,31,0537,Integrated oil & gas,FT Global 500,577.52,6,6,4.0,0.6,10.6,14474,-35,-37,14.5,99647,-30,-19,1033.8,-30,-16,96387,-1,-4,6.0,7,10,35,72367,-8,543.76,527.77,505.55,600.62
"Petroleo Brasiliero, Brazil",Brazil,,,*,31,0537,Integrated oil & gas,FT Global 500,421.70,-28,-8,3.1,0.7,39.0,13395,-12,10,23.5,56888,-22,10,739.6,-25,-6,76919,4,19,5.5,-30,-20,,92089,-14,582.70,545.55,450.18,247.07
