Company,Company ID,Country,Country GDP $,Not IFRS,Industry group,ICB code,Industry description,Listing status,2009 R&D investment,1 Yr R&D investment growth%,4 Yr R&D investment growth%,R&D investment / operation profit%,R&D investment / sales%,R&D + capex / sales%,Operating profit,If made profit,1 Yr operating profit%,4 Yr operating profit%,Operating profit / sales%,Sales,1 Yr sales growth%,4 Yr sales growth%,Employees,1 Yr employees growth%,4 Yr employees growth%,R&D / employees ,1 Yr R&D / employees growth%,4 Yr R&D / employees growth%,Sales outside region%,Market cap,Market cap change%,If market cap increase,R&D spend 2008,R&D spend 2007,R&D spend 2006,R&D spend 2005
"Swatch, Switzerland",490,Switzerland,566764598976.798,,33,3763,Clothing & accessories,FT Global 500,97.05,-5,3,17.8,3.2,7.4,544,Yes,-22,-12,17.7,3080,-9,1,23727,-2,8,4.1,-3,-5,55,10687,41,Yes,102.44,97.65,88.66,89.26
"Idemitsu Kosan, Japan",991,Japan,5470777391091.97,*,31,537,Integrated oil & gas,Listed,110.51,7,21,22.0,0.4,2.6,503,Yes,64,21,2.0,25267,-2,14,7826,4,4,14.1,3,10,,2064,-2,No,103.05,92.51,93.03,76.90
"Nippon Sheet Glass, Japan",870,Japan,5470777391091.97,*,7,2353,Building materials & fixtures,Listed,70.02,-32,-6,,1.4,7.2,-260,No,-219,-337,-5.3,4918,-15,42,31436,-4,35,2.2,-30,-37,57,1115,-30,No,103.21,90.86,50.71,52.85
"AU Optronics, Taiwan",724,Taiwan,392106000000,*,9,2737,Electronic equipment,Listed,119.76,16,19,,1.7,18.7,-489,No,-184,-183,-7.0,6957,-15,2,51378,19,30,2.3,-2,-14,,5074,-14,No,103.29,113.66,92.21,94.53
"Krones, Germany",664,Germany,3260114884059.16,,21,2757,Industrial machinery,Listed,86.60,-16,-4,,5.2,8.4,-37,No,-127,-133,-2.3,1657,-22,-8,10001,2,9,8.7,-18,-11,,1058,16,Yes,103.40,94.61,87.93,73.38
"DIC, Japan",910,Japan,5470777391091.97,*,6,1357,Specialty chemicals,Listed,97.98,-5,-5,83.6,1.6,6.1,117,Yes,-59,-58,1.9,6202,-14,-9,23613,-6,-8,4.1,1,4,46,1007,22,Yes,103.66,103.16,98.99,105.87
"SKF, Sweden",656,Sweden,466459315772.176,,21,2757,Industrial machinery,Listed,107.28,3,27,38.7,2.2,5.7,277,Yes,-58,-53,5.7,4876,-11,0,38530,-11,-5,2.8,16,34,49,5075,20,Yes,103.99,80.75,78.32,73.63
"East Japan Railway, Japan",298,Japan,5470777391091.97,*,41,5759,Travel & tourism,FT Global 500,109.11,5,1,3.9,0.6,17.7,2831,Yes,-4,12,15.8,17940,0,3,72550,0,0,1.5,4,1,0,15940,9,Yes,104.09,113.71,112.32,103.63
"JS, Japan",867,Japan,5470777391091.97,*,7,2353,Building materials & fixtures,Listed,106.28,2,4,124.9,1.5,1.5,85,Yes,-62,-71,1.2,6963,-5,-2,32700,3,6,3.3,-1,-2,,3763,17,Yes,104.14,102.68,107.63,92.65
"Terumo, Japan",458,Japan,5470777391091.97,*,19,4535,Medical equipment,Listed,114.13,9,7,32.1,5.7,11.6,355,Yes,-21,-2,17.6,2014,-1,14,13439,9,21,8.5,0,-12,37,6648,3,Yes,104.79,111.70,119.90,91.39
"Reckitt Benckiser, UK",522,UK,2427911661952.04,,20,3724,Nondurable household products,FT Global 500,122.00,16,44,6.5,1.6,3.6,1891,Yes,26,73,24.4,7753,18,48,24900,2,11,4.9,13,31,,21860,11,Yes,105.00,88.00,82.00,63.00
"Synthes, USA",459,USA,14617299295858.1,*,19,4535,Medical equipment,Listed,104.25,-1,20,14.5,5.0,13.8,720,Yes,8,36,34.3,2102,6,30,10326,9,23,10.1,-9,-2,41,8529,4,Yes,105.18,92.04,77.78,71.11
"Prithvi Information Solutions, India",216,India,1544380310593.35,*,37,9533,Computer services,Listed,203.22,92,174,,77.3,77.5,-0.5,Yes,-102,-102,-0.1,263,76,153,2680,-3,41,75.8,97,95,,13,-13,No,105.75,72.81,43.79,
"RF Micro Devices, USA",83,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,86.05,-19,-24,131.1,14.2,15.1,66,Yes,,,10.8,606,10,8,3687,-10,-2,23.3,-10,-24,,683,-19,No,105.75,128.41,114.55,104.56
"Bombardier, Canada",845,Canada,1565186460764.05,*,1,2713,Aerospace,Listed,87.31,-18,-14,13.4,0.7,4.9,652,Yes,-21,37,5.4,11992,-2,16,62900,-6,6,1.4,-13,-19,72,4812,13,Yes,105.89,86.07,107.13,108.37
"Wartsila, Finland",651,Finland,241487608810.22,,21,2757,Industrial machinery,Listed,131.50,22,49,25.4,2.8,4.9,517,Yes,14,52,11.1,4673,14,48,18830,7,29,7.0,14,16,69,3264,48,Yes,107.51,108.40,75.34,62.28
"Telenor, Norway",280,Norway,425768848675.368,,28,6575,Mobile telecommunications,FT Global 500,78.25,-27,-21,4.2,0.7,14.2,1865,Yes,-16,-2,17.8,10498,1,14,40300,4,16,1.9,-30,-32,32,15352,56,Yes,107.63,100.23,112.13,76.00
"Dainippon Screen Mfg, Japan",74,Japan,5470777391091.97,*,39,9576,Semiconductors,Listed,106.92,-1,9,,7.3,9.6,-163,No,-337,-227,-11.2,1457,-22,-20,4992,-1,5,21.4,0,4,27,796,45,Yes,108.08,112.31,88.26,84.00
"Ciena, USA",16,USA,14617299295858.1,*,39,9578,Telecommunications equipment,Listed,117.85,9,38,,29.2,32.9,-362,No,-2773,-6605,-89.6,404,-28,-2,2163,-2,24,54.5,11,11,,703,-1,No,108.38,78.83,68.78,84.99
"Hexagon, Sweden",659,Sweden,466459315772.176,,21,2757,Industrial machinery,Listed,98.70,-9,22,78.5,9.6,11.0,126,Yes,-41,-13,12.3,1024,-18,-9,7549,-17,-4,13.1,9,32,51,2682,61,Yes,108.85,104.07,77.54,32.18
"Clariant, Switzerland",912,Switzerland,566764598976.798,,6,1357,Specialty chemicals,Listed,89.86,-18,-27,,2.3,4.3,-17,No,-113,-111,-0.4,3962,-18,-21,17536,-13,-19,5.1,-7,-10,56,1868,67,Yes,110.23,126.40,124.00,130.59
"Kaneka, Japan",908,Japan,5470777391091.97,*,6,1357,Specialty chemicals,Listed,114.43,4,4,880238.5,3.8,11.7,0.5,Yes,-100,-100,0.0,2991,-11,-4,7321,-2,1,15.6,6,3,17,1316,-17,No,110.49,112.22,112.16,104.73
"SMC, Japan",658,Japan,5470777391091.97,*,21,2757,Industrial machinery,Listed,101.79,-8,-2,35.1,5.4,11.6,290,Yes,-51,-47,15.4,1885,-21,-12,15388,4,16,6.6,-12,-16,,5433,10,Yes,110.73,105.48,101.60,99.45
"Kellogg, USA",541,USA,14617299295858.1,*,14,3577,Food products,FT Global 500,112.08,0,-1,9.1,1.4,4.4,1229,Yes,4,9,15.8,7787,-2,10,30900,-5,12,3.6,5,-13,,11846,8,Yes,112.08,110.84,118.03,112.08
"Parametric Technology, USA",174,USA,14617299295858.1,*,37,9537,Software,Listed,116.73,4,24,1192.2,20.1,23.3,10,Yes,-86,-82,1.7,581,-12,5,5165,2,17,22.6,2,6,63,1244,26,Yes,112.71,100.53,91.24,73.24
"Nordea Bank, Sweden",250,Sweden,466459315772.176,,4,8355,Banks,FT Global 500,79.96,-29,14,2.9,1.0,3.0,2732,Yes,-9,-13,33.9,8061,11,21,33118,-2,5,2.4,-27,11,,23722,-8,No,112.84,78.19,88.85,0.00
"GDF SUEZ, France",258,France,2592078593347.73,,16,7575,Multiutilities,FT Global 500,193.69,72,127,2.8,0.3,10.9,6909,Yes,29,72,9.7,70998,18,93,242714,3,83,0.8,66,-13,14,45976,-15,No,112.84,88.49,74.63,64.86
"Invensys, UK",172,UK,2427911661952.04,,37,9537,Software,Listed,130.00,14,26,57.0,5.8,7.3,228,Yes,27,5,10.2,2243,-2,-11,20357,-8,-24,6.4,24,62,,1967,-6,No,114.00,100.00,89.00,110.00
"Elbit Systems, Israel",824,Israel,221584427361.149,*,1,2717,Defence,Listed,134.22,17,82,93.1,7.7,11.5,144,Yes,10,85,8.2,1754,7,57,11238,3,27,11.9,13,47,54,1388,-20,No,114.55,78.64,57.11,44.53
"Metso, Finland",661,Finland,241487608810.22,,21,2757,Industrial machinery,Listed,97.73,-15,2,38.5,2.2,3.9,254,Yes,-54,-41,5.7,4457,-22,-8,27813,-1,11,3.5,-14,-8,57,3547,72,Yes,114.62,98.62,90.63,78.19
"Deutsche Post, Germany",641,Germany,3260114884059.16,,23,2771,Delivery services,FT Global 500,78.19,-32,-39,22.5,0.2,2.1,347,Yes,,-81,0.8,42501,-27,-12,488518,-4,1,0.2,-29,-42,,12782,7,Yes,114.62,120.84,121.72,155.49
"Reed Elsevier, UK",310,UK,2427911661952.04,,26,5557,Publishing,FT Global 500,179.00,56,77,22.5,2.9,4.2,795,Yes,-11,-12,13.1,6071,14,14,33300,1,-6,5.4,54,87,69,11849,15,Yes,115.00,80.00,108.00,102.00
"Hoya, Japan",725,Japan,5470777391091.97,*,9,2737,Electronic equipment,Listed,117.27,1,23,69.5,3.9,11.4,169,Yes,-74,-73,5.6,3021,-6,19,34592,-3,25,3.4,4,-3,34,5937,-1,No,115.83,99.25,94.02,72.88
"NGK Spark Plug, Japan",585,Japan,5470777391091.97,*,3,3355,Auto parts,Listed,116.91,1,12,,6.0,16.3,-271,No,-216,-206,-14.0,1943,-15,-4,11979,3,16,9.8,-2,-4,58,1819,8,Yes,116.04,108.11,97.73,95.52
"JDS Uniphase, USA",19,USA,14617299295858.1,*,39,9578,Telecommunications equipment,Listed,105.33,-10,12,,13.1,17.4,-573,No,,,-71.5,802,-15,7,4000,-44,-39,26.3,61,87,54,1401,79,Yes,116.48,104.28,96.29,58.02
"Dover, USA",654,USA,14617299295858.1,*,21,2757,Industrial machinery,Listed,110.41,-6,-5,30.2,3.1,5.1,365,Yes,-43,-36,10.1,3611,-24,-18,29300,-9,-10,3.8,4,6,36,5364,36,Yes,117.16,131.65,95.98,119.02
"Mattel, USA",498,USA,14617299295858.1,*,24,3747,Toys,Listed,106.08,-10,-7,23.7,3.2,5.4,448,Yes,33,7,13.3,3363,-8,-4,27000,-7,-8,3.9,-3,1,51,4842,21,Yes,117.78,117.28,107.44,112.70
"Polaris Software Lab, India",175,India,1544380310593.35,*,37,9537,Software,Listed,115.79,-2,22,459.1,64.3,67.0,25,Yes,2,87,14.0,180,-2,25,9512,3,12,12.2,-5,8,78,230,36,Yes,117.82,99.09,87.60,74.80
"BioMerieux, France",456,France,2592078593347.73,,19,4535,Medical equipment,Listed,127.06,8,9,70.2,11.7,19.9,181,Yes,11,34,16.7,1087,10,16,6298,7,11,20.2,0,-2,,2507,7,Yes,117.90,117.10,115.15,116.13
"Rockwell Automation, USA",657,USA,14617299295858.1,*,21,2757,Industrial machinery,Listed,105.27,-11,7,51.5,3.9,6.2,204,Yes,-61,-61,7.6,2683,-24,-20,19000,-10,-11,5.5,-2,20,43,4521,29,Yes,118.46,88.61,99.33,85.83
"Hitachi Kokusai Electric, Japan",726,Japan,5470777391091.97,*,9,2737,Electronic equipment,Listed,113.53,-4,20,,13.3,16.4,-77,No,-168,-188,-9.0,855,-35,-28,4894,0,,23.2,-4,,,505,2,Yes,118.53,95.90,85.24,77.59
"Hasbro, USA",497,USA,14617299295858.1,*,24,3747,Toys,Listed,112.20,-5,6,30.8,4.5,7.0,364,Yes,19,43,14.5,2519,1,15,5800,-2,-1,19.3,-4,8,42,3704,61,Yes,118.54,103.53,106.11,93.25
"Marks & Spencer, UK",320,UK,2427911661952.04,,18,5373,Broadline retailers,Listed,56.90,-52,-5,6.7,0.6,3.9,844,Yes,-2,-12,8.8,9537,5,10,76267,-2,2,0.7,-51,-5,,5246,0,No,118.80,65.10,46.20,10.70
"Novozymes, Denmark",404,Denmark,316081424057.807,,34,4573,Biotechnology,Listed,126.57,7,25,64.2,12.5,24.5,197,Yes,11,20,19.5,1009,4,18,5217,4,16,24.3,2,8,62,4018,37,Yes,118.81,106.39,94.81,85.49
"Metro, Germany",319,Germany,3260114884059.16,,18,5373,Broadline retailers,FT Global 500,95.96,-19,-9,6.7,0.2,2.1,1427,Yes,5,-12,2.4,58267,-5,3,296292,-2,5,0.3,-18,-14,4,10212,-6,No,119.06,115.50,99.51,89.74
"National Australia Bank, Australia",245,Australia,1122922429785.22,,4,8355,Banks,FT Global 500,190.47,60,32,6.9,2.0,5.4,2775,Yes,58,-9,29.7,9343,28,38,38953,-2,0,4.9,63,32,,28249,-5,No,119.18,156.49,140.90,160.39
"Weatherford International, Switzerland",974,Switzerland,566764598976.798,*,32,573,Oil equipment & services,Listed,120.53,1,26,29.2,2.2,20.0,413,Yes,-65,-51,7.5,5466,-8,24,52000,4,42,2.3,-3,-13,82,7053,-20,No,119.30,104.85,92.53,66.48
"Zodiac Aerospace, France",840,France,2592078593347.73,,1,2713,Aerospace,Listed,121.93,2,5,58.8,6.2,9.2,207,Yes,0,-14,10.6,1960,9,2,16860,-5,-1,7.2,8,8,59,1894,43,Yes,119.64,129.00,98.51,
"Cypress Semiconductor, USA",72,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,112.20,-6,-15,,27.1,31.0,-91,No,,,-21.9,414,-63,-50,3600,-12,-37,31.2,7,28,,1031,-3,No,119.84,116.29,151.16,140.42
"Dragerwerk, Germany",457,Germany,3260114884059.16,,19,4535,Medical equipment,Listed,120.02,0,11,167.5,7.1,9.4,72,Yes,-28,-37,4.2,1698,-1,7,11007,3,9,10.9,-3,3,,853,397,Yes,120.02,109.71,104.84,96.27
"Zimmer, USA",455,USA,14617299295858.1,*,19,4535,Medical equipment,Listed,127.19,6,7,20.2,5.0,7.6,631,Yes,-7,-8,24.9,2536,-1,11,8200,-4,10,15.5,10,-4,42,6401,6,Yes,120.13,129.79,116.60,108.68
"Human Genome Sciences, USA",418,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,63.59,-47,-48,1726.0,37.2,40.9,4,Yes,,,2.2,171,469,716,850,-3,1,74.8,-45,-48,,3032,92,Yes,120.31,126.26,113.62,129.79
"AGCO, USA",699,USA,14617299295858.1,*,21,2753,Commercial vehicles & trucks,Listed,118.83,-1,28,97.4,2.9,6.1,122,Yes,-64,-39,3.0,4106,-21,1,14500,-7,5,8.2,6,23,80,1952,11,Yes,120.44,95.92,79.20,75.36
"OKI Electric, Japan",17,Japan,5470777391091.97,*,39,9578,Telecommunications equipment,Listed,111.92,-8,-17,,3.1,6.2,-202,No,-986,-521,-5.6,3630,-24,-22,17415,-23,-19,6.4,20,2,,342,-26,No,121.27,141.72,130.47,146.25
"Tokai Rika, Japan",584,Japan,5470777391091.97,*,3,3355,Auto parts,Listed,119.11,-2,1,1293.9,5.3,11.5,9,Yes,-96,-94,0.4,2244,-23,-12,14838,0,12,8.0,-3,-10,,927,-17,No,121.89,117.96,118.54,111.99
"Ipsen, France",360,France,2592078593347.73,,34,4577,Pharmaceuticals,Listed,144.03,18,13,96.1,14.6,18.2,150,Yes,-13,-9,15.2,988,7,16,4353,7,13,33.1,11,0,,1746,-27,No,121.90,139.94,125.14,122.44
"TOFAS, Turkey",625,Turkey,711513011743.931,,3,3353,Automobiles,Listed,98.82,-19,218,97.8,4.7,9.4,101,Yes,4,80,4.8,2108,6,46,7014,-19,14,14.1,0,288,,1143,,No,121.96,0.00,1.90,0.56
"EMBRAER, Brazil",843,Brazil,2054224952705.78,*,1,2713,Aerospace,Listed,89.17,-27,-13,41.6,2.6,4.5,214,Yes,-36,-19,6.3,3385,-14,14,18628,-21,-11,4.8,-8,1,,2875,14,Yes,121.99,160.83,69.81,57.69
"Linear Technology, USA",71,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,115.08,-6,10,45.1,19.2,23.2,255,Yes,-28,-27,42.5,600,-18,-12,3821,-8,2,30.1,3,9,,4060,11,Yes,122.04,113.67,99.60,81.39
"Novell, USA",177,USA,14617299295858.1,*,37,9537,Software,Listed,112.32,-8,-8,,21.0,23.6,-133,No,,-374,-24.8,534,-10,-17,3600,-10,-19,31.2,2,12,,1230,26,Yes,122.70,129.03,111.70,124.24
"CR Bard, USA",439,USA,14617299295858.1,*,19,4537,Medical supplies,Listed,111.21,-10,21,26.8,7.1,9.0,416,Yes,30,45,26.5,1570,3,21,11000,0,11,10.1,-10,9,31,4634,4,Yes,123.29,84.09,90.22,70.96
"Bouygues, France",853,France,2592078593347.73,,7,2357,Heavy construction,Listed,130.61,6,8,6.7,0.5,4.4,1956,Yes,-8,5,7.0,27857,-4,11,144354,-2,10,0.9,8,-2,15,9102,-7,No,123.50,125.28,111.95,121.72
"SAAB, Sweden",841,Sweden,466459315772.176,,1,2713,Aerospace,Listed,103.55,-17,5,87.0,4.8,5.7,119,Yes,2396,6,5.6,2138,4,13,13045,-1,2,7.9,-16,4,45,875,17,Yes,124.80,121.07,85.08,63.92
"Arena Pharmaceuticals, USA",376,USA,14617299295858.1,*,34,4577,Pharmaceuticals,Listed,65.86,-47,-8,,1023.9,1075.2,-82,No,,,-1277.5,6,6,-50,358,-28,-15,184.0,-27,14,,498,97,Yes,125.09,80.62,45.09,34.85
"CSL, Australia",403,Australia,1122922429785.22,*,34,4573,Biotechnology,FT Global 500,173.54,38,72,26.0,6.7,13.1,668,Yes,25,82,26.0,2574,30,50,10340,11,30,16.8,24,33,,9999,-4,No,125.37,106.29,89.68,81.15
"JSR, Japan",905,Japan,5470777391091.97,*,6,1357,Specialty chemicals,Listed,140.09,10,23,103.0,6.0,6.0,136,Yes,-64,-60,5.8,2345,-13,0,5256,3,12,26.7,7,10,3,2476,-14,No,127.17,115.68,105.29,106.62
"TomTom, The Netherlands",723,The Netherlands,835338475725.744,,9,2737,Electronic equipment,Listed,129.46,2,125,67.0,9.8,10.6,193,Yes,,481,14.7,1315,-12,8,3294,22,179,39.3,-17,-15,,781,-50,No,127.37,59.89,33.35,9.07
"BorgWarner, USA",588,USA,14617299295858.1,*,3,3355,Auto parts,Listed,96.11,-25,-19,214.1,3.9,8.3,45,Yes,30,-75,1.8,2453,-25,-19,12500,-9,-25,7.7,-17,6,,3199,46,Yes,127.38,130.53,116.23,99.70
"TRW Automotive, USA",589,USA,14617299295858.1,*,3,3355,Auto parts,Listed,95.98,-25,-19,46.5,1.3,1.3,206,Yes,,-9,2.9,7192,-23,-16,57500,-12,-11,1.7,-15,-9,,2728,112,Yes,127.56,115.80,104.03,125.70
"Garmin, Cayman Islands",513,Cayman Islands,1565186460764.05,*,24,3743,Consumer electronics,Listed,147.61,16,72,30.2,8.1,9.8,488,Yes,-9,18,26.8,1825,-16,24,8437,-5,34,17.5,22,25,,3260,-9,No,127.63,98.71,70.17,46.37
"Tognum, Germany",647,Germany,3260114884059.16,,21,2757,Industrial machinery,Listed,149.09,17,65,100.5,6.6,10.6,148,Yes,-54,-14,6.6,2247,-19,6,8905,3,17,16.7,14,44,,1596,29,Yes,127.94,104.75,109.62,19.57
"Essilor International, France",438,France,2592078593347.73,,19,4537,Medical supplies,Listed,134.36,5,16,26.0,4.6,7.9,518,Yes,8,18,17.8,2904,6,18,32835,6,17,4.1,-2,-1,,8087,16,Yes,128.40,122.32,113.40,100.84
"Sumitomo Rubber Industries, Japan",562,Japan,5470777391091.97,*,3,3357,Tyres,Listed,119.62,-7,1,84.1,3.4,10.1,142,Yes,-2,-45,4.1,3489,-13,-5,20832,2,4,5.7,-9,-4,19,1579,5,Yes,128.72,121.22,115.02,108.15
"General Mills, USA",539,USA,14617299295858.1,*,14,3577,Food products,FT Global 500,134.99,5,12,8.4,1.5,5.9,1614,Yes,16,22,17.6,9162,1,13,33000,10,14,4.1,-5,-1,,14057,21,Yes,128.80,126.76,118.27,107.13
"SK Telecom, South Korea",279,South Korea,1027729851625.48,*,28,6575,Mobile telecommunications,Listed,134.98,4,9,15.3,1.7,16.6,884,Yes,59,-14,11.4,7752,3,22,9298,4,27,14.5,1,-16,,6959,-1,No,129.26,118.03,113.75,134.82
"ConocoPhillips, USA",990,USA,14617299295858.1,*,31,537,Integrated oil & gas,FT Global 500,117.65,-9,24,1.9,0.1,7.4,6085,Yes,,-46,6.6,92477,-32,-17,30000,-11,-15,3.9,2,44,,50539,26,Yes,129.42,99.08,72.45,77.40
"KDDI, Japan",278,Japan,5470777391091.97,*,28,6575,Mobile telecommunications,FT Global 500,179.35,38,76,6.6,0.8,14.1,2706,Yes,5,36,11.6,23265,-3,8,16967,7,20,10.6,29,48,,13557,-12,No,130.16,102.35,102.02,72.92
"Dana, USA",592,USA,14617299295858.1,*,3,3355,Auto parts,Listed,73.69,-43,-47,,2.3,4.2,-237,No,,,-7.3,3237,-35,-43,24000,-17,-37,3.1,-32,-17,,965,248,Yes,130.38,117.04,136.85,170.29
"Koc, Turkey",803,Turkey,711513011743.931,,17,2727,Diversified industrials,Listed,105.18,-19,35,7.5,0.6,3.3,1412,Yes,2,25,8.1,17532,-21,-4,68057,-8,-17,1.5,-13,58,,5668,60,Yes,130.47,91.15,48.23,41.61
"Illinois Tool Works, USA",652,USA,14617299295858.1,*,21,2757,Industrial machinery,FT Global 500,122.94,-6,16,14.7,1.4,3.2,834,Yes,-41,-44,9.7,8610,-19,-8,59000,-9,3,2.1,4,14,52,13413,5,Yes,130.48,126.01,89.74,79.18
"Kansai Electric Power, Japan",269,Japan,5470777391091.97,*,8,7535,Conventional electricity,FT Global 500,126.64,-3,-10,57.4,0.7,18.3,221,Yes,-83,-88,1.2,18556,4,6,30490,1,-1,4.2,-4,-8,,14321,11,Yes,130.48,138.47,139.29,153.13
"NCR, USA",139,USA,14617299295858.1,*,39,9572,Computer hardware,Listed,125.09,-4,-23,,4.4,7.0,-51,No,-129,-122,-1.8,2856,-13,-22,21500,-4,-16,5.8,0,-6,56,1232,-9,No,130.66,114.56,203.11,197.54
"Kerry, Ireland",540,Ireland,218199392507.127,,14,3577,Food products,Listed,131.28,0,6,44.2,3.3,5.1,297,Yes,19,4,7.4,4017,-6,-3,21997,-1,-4,6.0,2,10,37,3411,24,Yes,131.02,129.04,123.52,110.83
"Dongfeng Motor, Hong Kong",621,Hong Kong,214145226330.175,,3,3353,Automobiles,Listed,189.30,44,101,26.1,2.3,5.6,724,Yes,76,143,8.7,8323,30,67,94066,1,45,2.0,42,,,7059,20,Yes,131.52,98.78,82.09,65.22
"Furukawa Electric, Japan",799,Japan,5470777391091.97,*,17,2727,Diversified industrials,Listed,132.34,1,6,,1.9,5.7,-63,No,-124,-137,-0.9,6870,-12,5,37427,-1,12,3.5,1,-7,,1716,-16,No,131.63,132.88,119.85,114.37
"International Flavors & Fragrances, USA",485,USA,14617299295858.1,*,33,3767,Personal products,Listed,120.03,-9,0,57.3,8.3,11.2,210,Yes,-5,2,14.5,1440,-3,6,5400,2,4,22.2,-11,-4,74,2292,28,Yes,131.71,123.24,114.99,111.35
"Pitney Bowes, USA",122,USA,14617299295858.1,*,39,9574,Electronic office equipment,Listed,118.52,-10,-1,20.9,3.4,6.4,568,Yes,-1,-10,16.5,3449,-11,-6,33004,-6,1,3.6,-4,-3,,2502,-10,No,131.72,128.35,111.57,106.39
"Hospira, USA",358,USA,14617299295858.1,*,34,4577,Pharmaceuticals,Listed,148.93,13,34,49.6,6.2,10.3,300,Yes,-5,30,12.5,2402,7,27,13500,-7,-1,11.0,21,36,,5436,36,Yes,132.27,124.61,100.08,85.97
"Kudelski, Switzerland",719,Switzerland,566764598976.798,,9,2737,Electronic equipment,Listed,141.80,7,19,343.5,22.5,25.1,41,Yes,200,-15,6.5,630,2,26,2954,11,38,48.0,-4,-16,,821,41,Yes,132.71,126.14,116.99,99.18
"Arkema, France",947,France,2592078593347.73,,6,1353,Commodity chemicals,Listed,120.84,-9,-14,,3.1,8.8,-52,No,-132,-136,-1.3,3948,-21,-22,13803,-7,-12,8.8,-3,-3,46,1653,38,Yes,133.27,140.38,149.27,
"Portugal Telecom, Portugal",290,Portugal,233818025950.208,,12,6535,Fixed line telecommunications,Listed,189.25,42,,15.6,3.2,19.0,1215,Yes,12,11,20.5,5932,-1,1,37021,16,18,5.1,23,,,6264,,No,133.27,,,9.86
"Showa Denko, Japan",906,Japan,5470777391091.97,*,6,1357,Specialty chemicals,Listed,137.98,3,12,,3.1,8.8,-295,No,-846,-227,-6.5,4511,-32,-28,11564,-2,2,11.9,5,10,,1705,14,Yes,133.52,115.72,129.86,115.64
"Sumitomo Metal Industries, Japan",884,Japan,5470777391091.97,*,22,1757,Iron & steel,Listed,147.15,10,26,10.3,1.2,10.8,1424,Yes,-27,-21,11.6,12269,6,20,24245,-3,-4,6.1,13,31,,7204,-9,No,133.72,124.85,109.27,97.99
"Teradyne, USA",76,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,102.07,-24,-23,,20.1,25.2,-76,No,,,-14.9,507,-26,-30,2900,-24,-24,35.2,0,1,74,1079,27,Yes,134.04,126.54,129.24,138.10
"Amylin Pharmaceuticals, USA",405,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,111.86,-17,6,,23.8,43.9,-108,No,,,-23.0,470,-10,33,1500,-17,-6,74.6,-1,17,,1752,51,Yes,135.20,122.02,114.69,48.53
"Novellus Systems, USA",80,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,92.33,-32,-37,,23.3,25.2,-47,No,,-149,-11.8,396,-37,-54,2544,-17,-27,36.3,-19,-14,,1404,34,Yes,136.02,149.25,151.22,153.15
"Lenovo, Hong Kong",138,Hong Kong,214145226330.175,*,39,9572,Computer hardware,Listed,132.73,-3,-5,98.7,1.3,1.5,135,Yes,,92,1.3,10282,11,11,22205,-1,-6,6.0,-1,-4,,3670,35,Yes,136.24,161.84,140.79,118.99
"BAT, UK",478,UK,2427911661952.04,,40,3785,Tobacco,FT Global 500,152.00,10,36,3.3,1.1,4.4,4574,Yes,16,41,32.2,14208,17,38,61053,9,11,2.5,1,23,61,43447,14,Yes,138.00,119.00,97.00,93.00
"International Game Technology, USA",302,USA,14617299295858.1,*,41,5752,Gambling,Listed,131.15,-5,13,69.4,10.0,22.2,189,Yes,-51,-57,14.4,1309,-16,-16,5100,-12,-5,25.7,8,19,,2809,-20,No,138.09,125.21,116.73,85.70
"Koito Manufacturing, Japan",582,Japan,5470777391091.97,*,3,3355,Auto parts,Listed,125.05,-10,-7,238.6,4.7,11.5,52,Yes,-74,-68,2.0,2662,-15,-5,14562,-5,2,8.6,-5,-9,,1367,1,Yes,138.36,137.69,135.70,127.72
"Pirelli, Italy",561,Italy,2098071668645.46,,3,3357,Tyres,Listed,121.72,-12,-19,114.5,3.1,8.1,106,Yes,,,2.7,3965,-9,-21,29565,-6,3,4.1,-6,-22,52,2008,35,Yes,138.61,153.71,151.93,154.60
"Amdocs, UK",171,UK,2427911661952.04,*,37,9537,Software,Listed,130.28,-7,7,58.4,7.4,10.3,223,Yes,-11,0,12.6,1773,-9,9,17244,-7,6,7.6,0,2,86,3330,8,Yes,139.63,142.70,115.65,89.45
"Sage, UK",168,UK,2427911661952.04,,37,9537,Software,Listed,174.60,25,63,62.9,12.1,13.5,278,Yes,4,16,19.3,1439,11,39,14352,-5,20,12.2,31,35,47,3148,13,Yes,139.70,111.40,94.90,81.60
"Lafarge, France",866,France,2592078593347.73,,7,2353,Building materials & fixtures,FT Global 500,135.05,-5,,7.1,1.0,10.8,1892,Yes,-32,-24,13.4,14113,-17,-11,68765,-9,-11,2.0,4,,64,8689,-35,No,142.16,125.28,,
"Altria, USA",479,USA,14617299295858.1,*,40,3785,Tobacco,FT Global 500,109.60,-24,-75,2.9,0.8,1.9,3754,Yes,-21,-56,25.7,14587,-32,-57,10000,-4,-91,11.0,-21,76,,28842,28,Yes,143.66,390.74,622.33,583.94
